Swing/Take,Outs,runners_code,count_code,PlateLocHeight,PlateLocSide,ERV_delta
Swing,0,0,4,3.26746,-0.21261,-0.0005660958493370546
Swing,1,0,1,1.72107,-1.20488,0.0
Swing,1,0,1,2.82134,-0.6693,0.013977107267854613
Swing,1,1,5,3.49811,-0.53552,0.01271417392341024
Swing,2,1,0,2.31181,-0.37454,0.0
Swing,2,1,3,1.94066,-1.05382,-0.05041031652989449
Swing,0,0,2,2.8423,-0.71789,-0.001150551464057849
Swing,0,0,1,2.26463,-0.49565,0.0
Swing,0,0,3,3.357,0.47026,-0.004799676767780519
Swing,1,0,3,3.10626,0.22907,0.0
Swing,1,1,4,3.28288,0.79742,-0.0038155763851401153
Swing,1,1,1,3.7082,0.75493,0.0
Swing,1,1,3,2.71377,-0.45198,-0.0281772753095115
Swing,2,1,5,2.68979,-0.2934,0.01271417392341024
Swing,2,1,8,3.37018,-0.30009,-0.05025461969906414
Swing,0,0,5,2.40445,-0.07908,0.013929102360888576
Swing,0,1,5,1.3751,0.01256,0.01271417392341024
Swing,0,1,2,1.6933,-0.21867,-0.003650642863614391
Swing,0,1,1,1.63878,-1.46994,-0.01750538936311801
Swing,1,1,5,2.65402,0.37855,0.03986464904845457
Swing,1,3,2,2.52673,0.91275,-0.003119622177654144
Swing,1,3,1,1.17097,0.15836,-0.06030133053899597
Swing,2,3,5,2.51953,-0.69179,-0.06209769026883756
Swing,0,0,3,2.63356,0.51167,-0.004799676767780519
Swing,1,0,4,3.47441,-0.01768,-0.0006141007563030907
Swing,1,1,6,2.05029,-0.90764,1.9685789579580428
Swing,1,0,6,2.83306,0.48102,-0.0027686129911500563
Swing,1,3,5,3.41656,0.67123,0.01948347037035504
Swing,1,3,2,3.10352,-0.6438,-0.003119622177654144
Swing,1,3,1,3.09281,-0.35065,-0.06030133053899597
Swing,2,3,5,2.28221,-0.13458,0.01948347037035504
Swing,2,3,4,1.49165,0.51492,2.9117592234123397
Swing,2,0,5,1.48945,0.54473,-0.0010997696381578118
Swing,2,0,2,2.95682,0.21072,-0.001150551464057849
Swing,2,0,0,2.92508,-0.24828,0.0
Swing,2,0,1,-0.00897,-0.49629,4.800490696603606e-05
Swing,0,0,5,1.84704,-0.8512,-0.0010997696381578118
Swing,0,0,7,1.26943,-0.53203,-0.006357840547369964
Swing,1,0,6,3.20159,-0.13871,-0.0027686129911500563
Swing,1,1,2,2.66482,-0.60897,-0.003650642863614391
Swing,1,1,0,1.77771,-0.1699,-0.009063531059795848
Swing,2,1,6,2.41373,-0.31743,0.003829026067189628
Swing,2,1,3,3.21603,-0.3853,0.0
Swing,2,1,3,2.82811,0.69953,0.0
Swing,2,1,3,2.48973,-0.80192,-0.05041031652989449
Swing,0,0,4,2.00818,-0.10897,-0.0006141007563030907
Swing,0,0,8,2.69036,-0.03704,-0.007388489543800994
Swing,1,1,9,1.68456,-0.31775,0.01451122407835187
Swing,1,1,3,2.53344,-0.59934,-0.05041031652989449
Swing,0,0,5,2.7114,-0.28971,0.013929102360888576
Swing,0,1,6,3.14344,-0.65731,-0.03142104204195707
Swing,0,0,2,2.72142,0.60056,-0.001150551464057849
Swing,0,0,8,1.79338,0.88448,0.006540612817087583
Swing,0,1,5,2.14552,0.14427,0.01271417392341024
Swing,0,1,8,2.44687,0.58309,0.0
Swing,0,7,6,3.53966,-0.21755,0.030004314779780272
Swing,0,7,3,3.30061,0.09961,-0.15047169811320754
Swing,1,7,2,2.32158,0.58906,0.07787616467323069
Swing,0,0,2,2.29557,0.33346,-0.001150551464057849
Swing,1,0,6,1.75222,0.77395,-0.0027686129911500563
Swing,1,1,7,3.11104,-0.46877,-0.027957072848058075
Swing,2,1,5,2.64753,-0.36774,-0.02223304122038299
Swing,0,1,8,3.01884,0.83558,0.0
Swing,0,3,1,1.24222,-0.05015,0.0
Swing,0,3,1,1.35553,0.05065,0.0026009791921664666
Swing,0,7,4,1.08712,0.21437,0.010798898071625346
Swing,0,7,7,2.59807,-0.23244,0.07727349991500934
Swing,0,7,5,2.22414,-0.12388,0.0
Swing,1,7,5,1.83762,0.16975,-0.027200488997555006
Swing,1,7,2,1.16223,0.62011,1.027200488997555
Swing,1,7,5,2.31359,1.12365,-0.027200488997555006
